Track,Artist,Album_Name,Release_Date,Spotify_Streams,Spotify_Popularity,YouTube_Views,TikTok_Likes,Shazam_Counts
Virginia Beach,Drake,For All The Dogs,2023-10-06,"165,204,421",0.0,"16,599,214",Unknown,"349,915"
Great Gatsby,Rod Wave,Nostalgia,2023-09-15,"66,813,186",0.0,"75,881,981","4,543,062","395,093"
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofï¿½ï¿½a R,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",2018-02-16,"667,508,675",61.0,"1,001,147,152","628,778,954","8,994,016"
Ateï¿½ï¿½e Dï¿½ï,Mert Demir,Ateï¿½ï¿½e Dï¿½ï,2023-09-22,"98,395,711",0.0,"198,114,786","3,300,292","1,134,279"
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,Until I Found You (Em Beihold Version),2022-04-22,"1,020,452,066",79.0,"114,404,861","129,184,868",Unknown
Wants and Needs (feat. Lil Baby),Drake,Scary Hours 2,2021-03-05,"793,287,638",71.0,"104,966,782","45,722,496","2,221,501"
Jiwa Yang Bersedih,Ghea Indrawari,Jiwa Yang Bersedih - Single,2023-05-18,"229,120,157",69.0,"136,914,720","378,055,132","154,129"
Coco Chanel,Eladio Carrion,3MEN2 KBRN,2023-03-17,"459,282,058",72.0,"100,210,832","17,997,404","742,228"
Calm Down Baby,DJ Laxman,Calm Down Baby - Single,2024-01-12,"1,389,772,733",0.0,Unknown,Unknown,Unknown
At My Worst,Pink Sweat$,The Prelude,2020-07-17,"670,245,273",64.0,"537,033,479","155,783,189","2,977,114"
TOO MUCH,The Kid LAROI,TOO MUCH,2023-10-19,"137,894,955",0.0,"45,533,851","2,179,277","601,987"
Go Down Deh (feat. Shaggy and Sean Paul),Spice,Go Down Deh (feat. Shaggy and Sean Paul),2021-04-30,"218,431,985",61.0,"336,505,073","338,445,934","6,024,636"
Cake By The Ocean - Cover,MUSIC LAB JPN,NEW TIK&TOK - BUZZ BEST -,2023-06-07,"1,611,084,670",0.0,Unknown,Unknown,Unknown
Miles On It,Marshmello,Miles on It,2024-05-03,"41,924,126",79.0,"4,219,901",Unknown,"189,286"
El Caballito,FARIANA,El Caballito - Single,2024-06-07,"184,278",42.0,Unknown,"14,587,439","2,840"
PICK UP THE PHONE (feat. Nate Dogg),PAWSA,PICK UP THE PHONE (feat. Nate Dogg),2024-05-31,"2,284,977",22.0,"186,215",Unknown,"44,984"
Tomorrow 2 (with Cardi B),GloRilla,Tomorrow 2 (with Cardi B),2022-09-23,"157,806,193",64.0,"216,925,153","77,376,260","1,089,768"
Se Preparï¿,Ozuna,Se Preparï¿,2017-08-10,"846,909,112",73.0,"2,003,507,626","31,889,859","2,526,044"
Lost on You,LP,Lost On You,2016-03-24,"837,042,727",70.0,"2,265,062,550","31,874,280","16,431,621"
Leï¿½,Marï¿½ï¿½lia Mendo,Leï¿½ï¿½o - Si,2022-12-08,"415,752,953",66.0,"423,072,409","58,453,253","280,389"
"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",2023-07-12,"159,909,273",64.0,"329,088,407",Unknown,"109,794"
Lean Wit Me,Juice WRLD,Lean Wit Me,2018-05-22,"880,781,313",72.0,"432,457,883","3,880,481","934,193"
HOTEL LOBBY (Unc & Phew),Quavo,HOTEL LOBBY (Unc and Phew),2022-05-20,"399,707,517",69.0,"44,839,108","101,238","2,145,146"
"Choli Ke Peeche (From ""Crew"")",Diljit Dosanjh,"Choli Ke Peeche (From ""Crew"") - Single",2024-03-20,"16,264,473",0.0,"93,523,633",Unknown,"35,056"
April Rain in August Weather,Baba Blakes,April Rain in August Weather - Single,2023-03-24,"408,449",12.0,"524,571,173",20,75
LEATHER,MAKAELA,LEATHER,2023-01-27,"1,696",0.0,"604,258,394",Unknown,Unknown
Panini,Lil Nas X,Panini,2019-06-20,"741,766,886",62.0,"659,070,547","59,073,681","2,409,985"
She Had Me At Heads Carolina,Cole Swindell,Stereotype,2022-04-08,"244,709,550",69.0,"92,809,269","11,305,059","911,477"
"So Long, London",Taylor Swift,THE TORTURED POETS DEPARTMENT,2024-04-18,"175,613,480",84.0,"15,237,337","247,100","67,886"
bad idea right?,Olivia Rodrigo,bad idea right?,2023-08-11,"433,515,672",12.0,"37,971,085","92,857,729","706,445"
"Ay, DiOs Mï¿½ï",KAROL G,"Ay, DiOs Mï¿½ï",2020-07-10,"599,215,039",61.0,"834,762,162","71,390,703","1,362,793"
happier,Olivia Rodrigo,SOUR,2021-05-21,"1,133,535,049",79.0,"352,845,171","472,933,333","1,970,544"
Lalala,Y2K,Lalala,2019-06-28,"968,133,091",66.0,"707,665,227","556,612,849","9,155,025"
ONE MORE TIME,blink-182,ONE MORE TIME / MORE THAN YOU KNOW,2023-09-21,"62,097,485",0.0,"36,646,460","2,500,510","1,145,608"
ýýýýýýýýýýýýýýýýýýýýý,HoneyWorks,ýýýýýýýýýýýýýýýýýýýýý,2022-11-21,"23,191,929",51.0,"128,703,160","499,324,989","188,814"
Tubarï¿½ï¿½o Te,Dj LK da Escï¿½ï¿,Tubarï¿½ï¿½o Te,2022-09-28,"150,177,750",59.0,"153,683,754","1,300,234,701","1,072,415"
Chichiquetere,HCTM,Chichiquetere,2022-08-06,"1,858,478",28.0,"163,462","88,338,099","49,225"
After Hours,Kehlani,After Hours,2024-04-04,"34,629,239",14.0,"2,560,026","477,400","349,619"
Monkeys Spinning Monkeys,Kevin MacLeod,SteamFun - Single,2011-05-16,"11,477,477",36.0,"11,457,166","23,474,223,833","1,177,639"
II MOST WANTED,Beyoncï¿,COWBOY CARTER,2024-03-27,"76,870,736",0.0,"6,424,033",Unknown,"286,217"
One Kiss (with Dua Lipa),Calvin Harris,Dua Lipa (Complete Edition),2015-01-01,"2,178,606,166",79.0,"1,256,080,361","174,361,744","15,829,169"
Mmhmm,BigXthaPlug,Mmhmm,2023-10-06,"155,648,648",82.0,"27,758,776","881,868","479,173"
BOP,DaBaby,KIRK,2019-09-27,"820,923,123",68.0,"661,665,888","16,461,096","2,417,871"
Husn,Anuv Jain,Husn,2023-12-01,"181,457,783",74.0,"130,834,495",Unknown,"355,361"
Titanium (feat. Sia),Sia,Nothing But The Beat,2011-01-01,"1,634,403,761",74.0,"1,855,838,617","49,312,980","15,214,627"
Kahani Suno 2.0,Kaifi Khalil,Kahani Suno 2.0,2022-05-31,"296,648,613",68.0,"510,727,740","27,052,606","422,144"
No_se_ve.mp3,Emilia,No_se_ve.mp3 - Single,2023-05-03,"218,340,846",64.0,"223,159,269","67,337,219","744,536"
Lean On (feat. Mï¿½ï¿½ & DJ Snake) - J Balvin & Farruko R,Major Lazer,Lean On (feat. Mï¿½ï¿½ & DJ Snake) [J Balvin & Farruko Re,2015-09-04,"53,822,187",0.0,"3,617,929,617",37,Unknown
Arcade,Duncan Laurence,Arcade,2019-03-07,"1,184,536,529",69.0,"439,603,979","698,504,294","11,835,805"
Ya Te Olvide,Natanael Cano,Ya Te Olvide,2024-05-15,"38,139,811",79.0,"19,437,867",Unknown,"114,816"
How Deep Is Your Love,Calvin Harris,How Deep Is Your Love,2015-07-17,"1,156,342,373",78.0,"1,961,319,809","148,496,036","14,394,209"
BUTTERFLY EFFECT,Travis Scott,EPIC AF,2017-01-01,"1,388,024,799",79.0,"583,707,677","22,575,146","3,356,112"
Let You Down,NF,Let You Down,2017-09-15,"1,472,430,869",73.0,"668,707,222","35,519,027","8,887,316"
FE!N (feat. Playboi Carti),Travis Scott,FE!N (feat. Playboi Carti),2024-03-30,"656,618,110",0.0,Unknown,Unknown,Unknown
Bad Memories (feat. Elley Duhï¿½ï¿½ & FAST ,MEDUZA,Bad Memories (feat. Elley Duhï¿½ï¿½ & FAST ,2022-07-22,"460,973,352",69.0,"21,938,855","11,711,694","3,373,945"
Yo Perreo Sola,Bad Bunny,YHLQMDLG,2020-02-29,"745,086,450",67.0,"818,482,247","126,702,212","1,822,325"
ETA,NewJeans,NewJeans 2nd EP 'Get Up',2023-07-21,"234,215,735",74.0,"189,170,317","38,199,952","248,138"
Jordan,Ryan Castro,Jordan,2021-04-30,"535,847,791",73.0,"602,969,531","440,899,222","1,079,602"
Take You Dancing,Jason Derulo,Take You Dancing,2020-07-22,"716,319,941",65.0,"460,154,791","149,900,995",Unknown
BUBALU,Feid,BUBALU,2023-09-22,"152,487,756",0.0,"91,266,986","672,615","783,303"
Be Alright,Dean Lewis,Be Alright,2018-06-29,"1,749,353,402",72.0,"244,698,483","48,497,239","12,744,176"
Jalebi Baby,Tesher,Jalebi Baby,2020-11-13,"164,137,928",58.0,"569,438,267","609,856,643","6,489,242"
Endless Summer,Alan Walker,Endless Summer,2023-07-13,"28,340,672",55.0,"6,667,293","16,323,044","150,561"
Belly Dancer,Imanbek,Belly Dancer,2022-02-18,"547,114,702",75.0,"152,539,885","45,025,550","3,826,486"
Who Told You (feat. Drake),J Hus,Who Told You (feat. Drake) - Single,2023-06-08,"142,574,143",62.0,"16,368,063","28,314,723","845,300"
NIGHT DANCER,imase,NIGHT DANCER - Single,2022-08-19,"239,149,370",67.0,"281,173,184","226,568,824","1,864,998"
Yoksun,Ebru Yaï¿½ï,Yoksun - Single,2024-02-02,"33,174,286",0.0,"119,795,906",Unknown,"499,594"
DON'T YOU WORRY,Black Eyed Peas,Don't You Worry,2022-06-16,"302,939,117",62.0,"236,850,911","6,704,531","4,456,945"
"Rowdy Baby (From ""Maari 2"")",Dhanush,U1 For Life,2020-08-26,"58,283,353",0.0,"1,558,088,734",Unknown,"139,710"
MIDDLE OF THE NIGHT,Elley Duhï¿,MIDDLE OF THE NIGHT,2020-01-10,"1,104,008,150",72.0,"431,904,675","304,312,367","10,511,473"
Pickup Man (feat. Post Malone),HARDY,HIXTAPE Vol. 3: DIFFTAPE (Small Batch),2023-11-09,"27,891,947",0.0,Unknown,Unknown,"96,725"
Volando (Remix),Mora,Volando (Remix),2021-07-08,"701,919,939",68.0,"560,364,244","9,024,221","1,404,755"
Moth To A Flame (with The Weeknd),Swedish House Mafia,The Highlights (Deluxe),2021-02-05,"861,100,951",74.0,"95,899,960","18,345,722","5,566,537"
WORTH IT (feat. Don Toliver),Offset,WORTH IT (feat. Don Toliver),2023-10-12,"48,339,964",0.0,"9,010,442","1,020,812","889,320"
Canï¿½ï¿½ï¿½t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & ,Olivia Rodrigo,Canï¿½ï¿½ï¿½t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & S,2023-11-03,"259,807,712",0.0,"9,545,403","85,733,614","1,027,616"
Solteiro Forï¿½ï¿½ado - (Boiadeira Internacio,Ana Castela,Solteiro Forï¿½ï¿½ado (Boiadeira Internacio,2023-07-07,"210,195,998",65.0,"291,263,121","3,996,634","137,611"
"Naina (From ""Crew"")",Diljit Dosanjh,"Naina (From ""Crew"") - Single",2024-03-05,"65,661,355",76.0,"89,220,257",Unknown,"127,403"
Bel Bont El3areedh,Hussain Aljassmi,Haflet Al'ahramat 2022 - Egypt,2022-12-19,"16,119",6.0,"634,519,417",Unknown,Unknown
"Naa Ready (From ""Leo"")",Anirudh Ravichander,"Naa Ready (From ""Leo"")",2023-06-22,"142,430,643",64.0,"347,065,741",663,"101,174"
Dï¿½ï¿½jala Que Vuelva (feat. Manuel Tur,Piso 21,Dï¿½ï¿½jala Que Vuelva (feat. Manuel Tur,2017-10-20,"871,780,891",68.0,"2,169,311,851","12,865,488","1,867,651"
Feel the POP,ZEROBASEONE,You had me at HELLO,2024-05-13,"8,699,917",58.0,"31,498,812","131,400","11,352"
Diamonds,Rihanna,Unapologetic (Edited Version),2012-01-01,"1,419,912,461",70.0,"2,336,257,288","899,775","11,373,333"
Fuera del mercado,Danny Ocean,@dannocean,2022-02-17,"535,013,440",71.0,"162,236,183","387,587,032","1,371,874"
Poor People We,Harp and a monkey,Poor People We,2022-11-28,"1,071",0.0,"654,777,639",Unknown,23
El Cielo,Sky Rompiendo,El Cielo - Single,2023-06-02,"354,097,795",74.0,"89,166,241","10,289,035","542,456"
ALL MY FELLAS,Frizk,ALL MY FELLAS,2023-09-19,"56,978,899",0.0,"31,575,700","77,314,395","460,827"
Bebefinn Song,Pinkfong,Bebefinn Song - Single,2024-05-03,"38,895",0.0,"50,007,108",Unknown,Unknown
BITTERSUITE,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,"58,810,212",87.0,Unknown,Unknown,"104,093"
Me Fui de Vacaciones,Bad Bunny,Un Verano Sin Ti,2022-05-06,"366,872,354",68.0,"146,768,761","180,281,548","768,036"
Talk (feat. Disclosure),Khalid,Talk,2019-02-07,"968,194,426",64.0,"468,753,245","22,886,397","5,865,620"
Rompe La Dompe,Peso Pluma,Rompe La Dompe,2023-12-28,"164,219,485",0.0,"101,560,741",Unknown,"184,898"
greedy sped up,Tate McRae,greedy,2023-09-14,"21,648,841",0.0,Unknown,"242,655,468",Unknown
Reloj,Rauw Alejandro,Reloj,2020-10-22,"579,749,218",65.0,"645,701,697","149,903,879","1,542,421"
ýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýý - Single,2024-03-22,"2,730,458",0.0,"89,974,882",Unknown,"15,042"
Youï¿½ï¿½ï¿½re Mines Still (feat. ,Yung Bleu,Youï¿½ï¿½ï¿½re Mines Still (feat. ,2020-10-15,"233,139,871",63.0,"425,539,008","15,980,144","523,078"
BADGYAL,SAIKO,SAKURA,2024-04-26,"56,282,981",80.0,"13,102,384",Unknown,"279,219"
Sorry 4 The Wait,Lil Wayne,Sorry 4 The Wait,2022-01-14,"24,285,898",54.0,"9,750,600","97,854","211,234"
DILUVIO,Rauw Alejandro,PLAYA SATURNO,2023-07-07,"310,562,790",79.0,"113,130,284","42,427,834","841,414"
ZEZE (feat. Travis Scott & Offset),Kodak Black,ZEZE (feat. Travis Scott & Offset),2018-10-12,"1,070,685,587",71.0,"494,548,432","55,794,187","4,235,259"
"Kesariya (From ""Brahmastra"")",Pritam,"Kesariya (From ""Brahmastra"") - Single",2022-07-17,"516,740,949",67.0,"548,697,509",Unknown,"372,802"
The Craving (single version),Twenty One Pilots,The Craving (single version) - Single,2024-05-22,"9,084,595",0.0,"11,912,619",Unknown,"35,315"
Bartolito,Duo Tiempo de Sol,20 GRANDES ï¿½ï¿½X,2015-10-05,"70,061,366",62.0,"3,257,763,799",Unknown,"73,794"
Peaches,Jack Black,The Super Mario Bros. Movie (Original Motion Picture Soundtrack),2023-04-07,"144,252,786",64.0,"68,229,038","255,693,787","292,159"
Counting stars,OneRepublic,Until the morning 2,2014-08-04,Unknown,0.0,"4,069,201,723",Unknown,Unknown
Take My Breath - Single Version,The Weeknd,Take My Breath,2021-08-05,"465,348,362",57.0,"218,889,957","17,828,688",Unknown
Lavender Haze,Taylor Swift,Midnights,2022-10-21,"711,138,043",73.0,"26,695,871","35,207,211","900,372"
KU LO SA - A COLORS SHOW,Oxlade,KU LO SA - A COLORS SHOW,2022-06-10,"331,419,634",68.0,"90,820,063","42,516,541","4,816,359"
Toca o Trompete,Felipe Amorim,Cadï¿½ï¿½ o After? P,2023-07-21,"166,784,328",66.0,"196,927,226","79,195,177","173,558"
Nobody Gets Me,SZA,SOS,2022-12-09,"561,645,790",82.0,"79,127,644","32,412,474","1,208,187"
Sleep Well,CG5,Sleep Well - Single,2024-02-16,"19,236,234",0.0,"114,064,058",Unknown,"71,078"
Hei Apa Apa / Tik Tak Tik Tik,Donny Fernanda,Nuansa Angkot 2023 - Vol. 1,2023-02-14,"12,415",0.0,Unknown,"148,462,808",Unknown
Glock In My Lap,21 Savage,SAVAGE MODE II,2020-10-02,"614,603,953",78.0,"164,711,656","22,453,063","2,194,666"
overseas,Ken Carson,overseas,2024-04-12,"35,980,441",79.0,"1,080,994",Unknown,"82,029"
CORAZï¿½ï¿½N VA,Maria Becerra,CORAZï¿½ï¿½N VA,2023-06-22,"251,442,618",71.0,"209,201,810","61,634,866","209,753"
PUNTO G,Quevedo,Punto G,2022-11-04,"600,073,400",71.0,"171,936,153","42,088,473","529,802"
"Muqabla (From ""Street Dancer 3D"")",Yash Narvekar,"Muqabla (From ""Street Dancer 3D"")",2019-12-21,"102,668,822",58.0,"1,111,498,706","26,463,521","104,058"
Ditto,NewJeans,Ditto,2022-12-19,"614,497,357",74.0,"202,069,442","179,997,019","714,871"
"Katchi Sera - From ""Think Indie""",Sai Abhyankkar,"Katchi Sera (From ""Think Indie"")",2024-01-22,"61,447,714",0.0,"128,967,148",Unknown,"311,293"
Bubble Gum,NewJeans,How Sweet,2024-05-24,"20,630,900",76.0,"14,185,984",Unknown,"33,194"
Abejita Chiquitita,El Payaso Plim Plim,Las Canciones de Plim Plim Vol. 8,2023-09-08,"5,741,262",0.0,"272,927,101",343,"6,795"
Love wins all,IU,Love wins all,2024-01-24,"60,903,416",0.0,"122,003,102","102,500","120,507"
PRINCESITA DE ...,Jere Klein,ýýNFASIS,2023-12-01,"106,290,197",70.0,"139,655,492",7,"195,908"
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),2021-10-05,"912,709,169",67.0,"410,395,727","30,651,870","1,218,835"
BABY HELLO,Rauw Alejandro,BABY HELLO - Single,2023-06-23,"268,383,799",68.0,"69,047,745","9,362,518","933,823"
ONE CALL,Rich Amiri,ONE CALL,2023-11-03,"271,566,931",80.0,"24,725,245","1,459,319","817,705"
Pehle Bhi Main,Vishal Mishra,ANIMAL,2023-11-24,"235,472,222",77.0,"134,079,122",Unknown,"300,188"
Kill Bill,pasa michaelson,Kill Bill - Single,2023-08-26,"1,842,758,768",0.0,Unknown,Unknown,Unknown
2/Catorce,Rauw Alejandro,2/Catorce,2021-02-14,"534,981,600",64.0,"607,206,864","233,010,597","1,847,960"
Ride,Twenty One Pilots,Ride,2015-05-12,"1,724,766,252",79.0,"1,832,805,733","64,556,528",Unknown
Dusk Till Dawn (feat. Sia),ZAYN,Dusk Till Dawn (feat. Sia) - Single,2017-09-08,"7,660,758",36.0,"2,384,906,510","224,835,071",Unknown
Rush,Troye Sivan,Rush,2023-07-13,"299,291,405",28.0,"59,684,881","31,430,262","1,347,624"
Physical,Dua Lipa,Physical,2020-01-30,"967,029,446",71.0,"570,687,048","39,077,139","5,988,911"
Pumped Up Kicks,Foster The People,Pumped up Kicks,2010-01-01,"1,791,778,314",81.0,"599,930,123","342,804,034","16,415,660"
Yes Indeed,Lil Baby,Yes Indeed,2018-05-15,"1,110,994,645",74.0,"143,629,586","25,188,899","3,561,319"
Open Arms (feat. Travis Scott),SZA,SOS,2022-12-08,"418,181,065",76.0,"87,097,570","21,397,764","1,272,704"
edamame (feat. Rich Brian),bbno$,edamame,2021-07-24,"460,770,585",9.0,"129,095,680","509,554,628","5,556,466"
Turn Down for What,DJ Snake,Turn Down for What,2013-12-18,"547,207,250",65.0,"1,350,062,601","124,466,320","14,799,660"
Calling (feat. A Boogie wit da Hoodie) [Spider-Man: Across the Spider-Verse],Metro Boomin,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023-06-02,"234,350,961",69.0,"60,645,740",Unknown,"1,068,077"
Smokin Out The Window,Bruno Mars,Smokin Out The Window,2021-11-05,"463,977,298",66.0,"219,573,887","4,609,516","1,849,092"
Goin' Off,Karan Aujla,Goin' Off,2024-05-09,"13,606,839",70.0,"32,342,705",Unknown,"33,780"
Close To You,Gracie Abrams,Close To You,2024-06-07,"13,700,065",74.0,"466,102",Unknown,"69,456"
Pagli Dekhave Agarbatti,Neelkamal Singh,Pagli Dekhave Agarbatti,2023-09-28,"20,981,562",0.0,"272,841,611",Unknown,Unknown
From The D To The A (feat. Lil Yachty),Tee Grizzley,From The D To The A (feat. Lil Yachty),2017-03-17,"364,325,529",64.0,"29,708,407","2,417,700","891,593"
Me Rehï¿½ï,Danny Ocean,Los Nï¿½ï¿½meros 1 De Los 40 (Music Inspires L,2017-11-03,"1,778,934,858",74.0,"1,915,123,572","17,109,874","6,246,243"
Nonsense,Sabrina Carpenter,emails i can't send,2022-07-15,"817,286,460",83.0,"156,580,179","36,883,907","1,180,048"
Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay,Destined 2 Win,2021-04-02,"392,745,531",67.0,"96,203,913","17,567,842","1,432,080"
Lose You To Love Me,Selena Gomez,Lose You To Love Me,2019-10-23,"1,222,228,366",72.0,"569,150,755","55,268,559","3,669,533"
Worth It,YK Osiris,Worth It,2019-02-08,"340,112,388",60.0,"283,340,446","18,279,931","1,660,493"
Fight The Feeling,Rod Wave,Fight The Feeling,2023-03-31,"86,327,319",51.0,"65,828,097","15,991,452","567,245"
Axel F,Crazy Frog,Best of Crazy Hits,2009-12-11,"178,536,020",30.0,"5,049,428,366",Unknown,"2,967,336"
Robbery,Juice WRLD,Robbery,2019-02-13,"1,306,374,052",73.0,"606,402,216","40,611,392","1,815,403"
Bebe Dame,Fuerza Regida,Bebe Dame - Single,2022-12-16,"562,099,076",70.0,"11,080,081","146,379,790","2,289,240"
Green Green Grass,George Ezra,george ezra songs to play when the sun's out,2022-03-22,"300,430,813",69.0,"103,550,086","248,347,598","2,071,865"
Zihaal e Miskin,Javed-Mohsin,Zihaal e Miskin,2023-05-25,"110,644,306",65.0,"367,432,386",Unknown,"184,497"
Fiel,Los Legendarios,Los Legendarios 001,2021-02-04,"642,558,596",64.0,"357,508,658","309,769,907","2,242,149"
Neverita,Bad Bunny,Un Verano Sin Ti,2022-05-06,"831,868,563",73.0,"181,498,962","87,502,749","1,247,731"
2002 - Remix,Shaun Reynolds,2002 (Remix),2018-05-11,"303,962",8.0,Unknown,"9,430,921",260
Infinity,Jaymes Young,Feel Something,2017-06-23,"1,059,940,209",74.0,"569,314,714","1,889,279,204","8,764,483"
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,The Highlights (Deluxe),2021-02-05,"812,954,133",81.0,"66,369,681","71,837,599","6,377,668"
adore u,Fred again..,adore u,2023-08-11,"129,427,492",71.0,"10,933,079","8,528,307","663,446"
Numb Little Bug,Em Beihold,Numb Little Bug,2022-01-28,"360,584,207",66.0,"41,254,765","69,378,146","2,132,903"
Feel It,d4vd,Feel It (From The Original Series ï¿½ï¿½ï¿½Invincib,2024-03-28,"110,377,644",0.0,"10,803,398","554,400","363,083"
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,"Loco Contigo (with J. Balvin, feat. Tyga)",2019-06-13,"822,696,809",68.0,"587,804,570","35,719,393","6,782,620"
Faz um Vuk Vuk (Teto Espelhado),MC Kevin o Chris,Faz um Vuk Vuk (Teto Espelhado),2023-07-20,"222,879,686",68.0,"183,254,308","22,478,680","130,095"
Suicidal,YNW Melly,Melly vs. Melvin,2019-11-22,"572,441,305",67.0,"317,626,075","218,106,950","2,287,665"
"Photo (From ""Luka Chuppi"")",Karan Sehmbi,"Photo (From ""Luka Chuppi"")",2019-02-12,"72,849,488",54.0,"329,389,939","10,188,221","215,757"
Sky,Playboi Carti,Whole Lotta Red,2020-12-25,"710,319,373",74.0,"183,959,519","62,458,934","1,537,393"
Love On,Selena Gomez,Love On,2024-02-22,"45,878,045",0.0,"18,082,083",Unknown,"350,842"
Payphone,Maroon 5,Overexposed Track By Track,2012-01-01,"1,828,026,153",78.0,"1,051,247,406","49,072,987","11,327,684"
Brickell,Feid,MANIFESTING 20-05,2024-04-10,"59,546,208",79.0,"26,823,878",Unknown,"259,017"
I Like Me Better,Lauv,I Like Me Better,2017-05-19,"1,784,308,411",75.0,"837,720,618","117,065,490","7,684,583"
RUNAWAY,OneRepublic,RUNAWAY,2023-05-26,"127,466,467",67.0,"13,668,402","518,049","1,350,255"
Que Se Cuide,Luis R Conriquez,Que Se Cuide,2024-05-03,"36,145,614",77.0,"26,390,813",Unknown,"178,962"
On My Love,Zara Larsson,On My Love (Sped Up),2023-09-12,"128,024,416",7.0,"14,394,570","507,857","934,544"
She Share Story,Shayne Orok,She Share Story,2020-06-02,Unknown,33.0,"238,798","2,844,924,215",Unknown
Mujeriego,Ryan Castro,Mujeriego - Single,2021-12-17,"285,723,562",63.0,"316,060,497","630,242,190","3,132,192"
Miss The Rage (feat. Playboi Carti),Trippie Redd,Miss The Rage,2021-05-07,"535,695,469",6.0,"171,889,127","113,564,973","1,525,672"
TUTA GOLD,Mahmood,TUTA GOLD,2024-02-07,"95,029,509",65.0,"73,263,450",Unknown,"279,900"
My Boy Only Breaks His Favorite Toys,Taylor Swift,THE TORTURED POETS DEPARTMENT,2024-04-18,"161,916,445",83.0,"13,509,432",Unknown,"47,529"
Dandini Dandini Dastana,Derya Yildirim,"Hey Dostum, ï¿½ï¿",2023-02-10,"12,750",9.0,"520,926,927",Unknown,186
Florida!!! (feat. Florence + the Machine),Taylor Swift,THE TORTURED POETS DEPARTMENT,2024-04-18,"140,177,107",0.0,"13,707,215","6,292,326","68,490"
Legends,Juice WRLD,Legends,2018-06-22,"681,282,854",63.0,"186,468,599","21,004,398","1,025,107"
Black Beatles,Rae Sremmurd,SremmLife 2 (Deluxe),2016-08-12,"972,005,229",69.0,"1,178,473,071","32,338,631","12,673,047"
King Size,Roddy Ricch,Feed Tha Streets III,2022-11-18,"3,248,779",33.0,"590,470,795","7,218",Unknown
Girls Want Girls (with Lil Baby),Drake,Certified Lover Boy,2021-09-03,"459,480,135",68.0,"94,845,922","54,238,635","1,506,723"
Linger - SiriusXM Session,Royel Otis,SiriusXM Session,2024-05-31,"8,053,814",69.0,Unknown,"46,235,180",Unknown
SLOW DANCING IN THE DARK,Joji,SLOW DANCING IN THE DARK,2018-09-12,"1,291,244,134",29.0,"576,756,813","252,216,973","1,785,813"
BIPOLAR,Peso Pluma,BIPOLAR,2023-09-07,"222,295,526",0.0,"110,937,613","6,784","872,796"
Addicted,Zerb,Addicted (feat. Ink) - Single,2024-03-29,"63,142,772",79.0,"320,436","3,088,170","512,040"
Besos Moja2,Wisin & Yandel,Besos Moja2,2022-09-29,"416,361,102",69.0,"251,373,932","158,067,701","739,386"
Wake Up in the Sky,Gucci Mane,Wake Up in the Sky,2018-09-14,"996,942,947",71.0,"614,755,305","50,143,641","6,648,622"
El Chico Del Apartamento 512 - Remasterizado 2024/30th Anniversary,Selena,Amor Prohibido (Remasterizado 2024/30th Anniversary),2024-03-22,"195,435,575",0.0,Unknown,Unknown,Unknown
Papercut,Linkin Park,Papercuts,2024-04-12,"497,285,757",0.0,Unknown,Unknown,Unknown
Chanel,Becky G,Chanel,2023-03-30,"287,853,890",65.0,"267,142,398","44,289,816","546,765"
Otro Trago,Sech,Sueï¿½ï,2019-04-18,"693,061,510",63.0,"1,315,371,330","6,844,512","3,179,632"
Back In Blood (feat. Lil Durk),Pooh Shiesty,Back In Blood (feat. Lil Durk),2020-11-06,"378,239,461",62.0,"477,876,565","30,522,237","1,280,704"
Jugaste y Sufrï¿,Eslabon Armado,Corta Venas,2020-12-18,"492,509,763",70.0,"420,395,103","92,852,948","2,849,462"
Una Foto Remix (feat. Emilia),Mesita,Una Foto Remix (feat. Emilia),2024-01-05,"206,001,461",78.0,"45,907,269","998,400","394,118"
Religiously,Bailey Zimmerman,Religiously,2023-03-17,"225,556,005",73.0,"23,904,394","5,688,685","594,487"
What Happened To Virgil (feat. Gunna),Lil Durk,7220,2022-03-11,"144,889,291",59.0,"98,375,891","68,284,710","1,047,166"
Hello,Adele,Hello,2015-10-23,"1,550,553,401",68.0,"347,935,820","68,479,244","11,659,524"
